dataset,source_table,source_itemid,source_valueid,source_unitid,source_ordercategoryid,source_label,source_value,source_unit,source_token,row_count,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
AmsterdamUMCdb,drugitems,9080,,,69,Hypromellose,Niet iv Zalven/Crèmes/Druppels,,DRUG//START//69//9080,126762,MEDICATION//S01//K//A02,dynamic_event,True,,ATC,21605115.0,S01KA02,hypromellose,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9001,,,65,Kaliumchloride (KCL),2. Spuitpompen,,DRUG//START//65//9001,113756,MEDICATION//B05//X//A01,dynamic_event,True,,ATC,21601196.0,B05XA01,potassium chloride,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12588,,,114,Nutrison Protein Plus,Voeding Enteraal,,DRUG//START//114//12588,78887,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,7293,,,55,"NaCl 0,9 %",Infuus - Crystalloid,,DRUG//START//55//7293,76772,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,19129,,,65,Insuline aspart (Novorapid),2. Spuitpompen,,DRUG//START//65//19129,75538,MEDICATION//A10//A//B05,dynamic_event,True,,ATC,21600719.0,A10AB05,insulin aspart; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12471,,,69,Xylometazoline (Otrivin) neusspray,Niet iv Zalven/Crèmes/Druppels,,DRUG//START//69//12471,73615,MEDICATION//R01//A//A07,dynamic_event,True,,ATC,21605016.0,R01AA07,xylometazoline; nasal,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,10622,,,70,(V/A/M)Ventolin:Atrovent:Mucomyst 1:1:1,Niet iv Tractus Respiratorius,,DRUG//START//70//10622,66971,MEDICATION//R03//A//L,dynamic_event,True,,ATC,43534842.0,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8937,,,55,Drukzak,Infuus - Crystalloid,,DRUG//START//55//8937,65470,ATC//SFX//B05,metadata_only,False,line_or_device_metadata,ATC,21601161.0,B05BB01,B05BB01,AMSTEL_source_concepts,source_code_atc,high
AmsterdamUMCdb,drugitems,7625,,,25,Nadroparine (Fraxiparine),Injecties Haematologisch,,DRUG//START//25//7625,65281,MEDICATION//B01//A//B06,dynamic_event,True,,ATC,21600977.0,B01AB06,nadroparin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7106,,,67,Hydrocortison (Solu Cortef),Injecties Hormonen/Vitaminen/Mineralen,,DRUG//START//67//7106,63388,MEDICATION//H02//A//B09,dynamic_event,True,,ATC,21602737.0,H02AB09,"hydrocortisone; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9149,,,70,(V/A)Ventolin:Atrovent 1:1,Niet iv Tractus Respiratorius,,DRUG//START//70//9149,61189,MEDICATION//R03//A//L02,dynamic_event,True,,ATC,43534844.0,R03AL02,salbutamol and ipratropium bromide,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8108,,,31,Macrogol (Movicolon)X,Niet iv Tractus Digestivus,,DRUG//START//31//8108,56194,MEDICATION//A06//A//D15,dynamic_event,True,,ATC,21600575.0,A06AD15,macrogol; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7930,,,65,Heparine,2. Spuitpompen,,DRUG//START//65//7930,52658,MEDICATION//B01//A//B01,dynamic_event,True,,ATC,21600973.0,B01AB01,heparin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9014,,,65,Velosuline (Insuline),2. Spuitpompen,,DRUG//START//65//9014,50613,MEDICATION//A10//A//B01,dynamic_event,True,,ATC,21600715.0,A10AB01,insulin (human); parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7252,,,17,Gelofusine,Infuus - Colloid,,DRUG//START//17//7252,47257,FLUID//COLLOID_OR_VOLUME_EXPANDER,dynamic_event/nutrition_fluid,True,colloid_or_volume_expander,LOCAL,,,FLUID//COLLOID_OR_VOLUME_EXPANDER,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,13498,,,119,Macrogol (Movicolon),Niet IV Groot Volume,,DRUG//START//119//13498,46471,MEDICATION//A06//A//D15,dynamic_event,True,,ATC,21600575.0,A06AD15,macrogol; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7225,,,23,Morfine,Injecties CZS/Sedatie/Analgetica,,DRUG//START//23//7225,42151,MEDICATION//N02//A//A01,dynamic_event,True,,ATC,21604256.0,N02AA01,"morphine; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7184,,,30,Metoprolol (Selokeen ),Niet iv Circulatie/Diurese,,DRUG//START//30//7184,37604,MEDICATION//C07//A//B02,dynamic_event/medication,True,,ATC,21601684.0,C07AB02,"metoprolol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7979,,,26,Pantoprazol (Pantozol),Injecties Tractus Digestivus,,DRUG//START//26//7979,37330,MEDICATION//A02//B//C02,dynamic_event,True,,ATC,21600097.0,A02BC02,"pantoprazole; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7316,,,55,Ri-Lac (Ringers lactaat),Infuus - Crystalloid,,DRUG//START//55//7316,36561,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,8006,,,71,Kaliumchloride drank,Niet iv Hormonen/Vitaminen/Mineralen,,DRUG//START//71//8006,36032,MEDICATION//A12//B//A01,dynamic_event,True,,ATC,21600877.0,A12BA01,potassium chloride; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7097,,,23,Haloperidol (Haldol),Injecties CZS/Sedatie/Analgetica,,DRUG//START//23//7097,35980,MEDICATION//N05//A//D01,dynamic_event,True,,ATC,21604516.0,N05AD01,"haloperidol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6883,,,29,Oxazepam (Seresta),Niet iv CZS/Sedatie/Analgetica,,DRUG//START//29//6883,33358,MEDICATION//N05//B//A04,dynamic_event,True,,ATC,21604569.0,N05BA04,oxazepam; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7148,,,67,Magnesiumsulfaat (MgSO4),Injecties Hormonen/Vitaminen/Mineralen,,DRUG//START//67//7148,32602,MEDICATION//B05//X//A05,dynamic_event,True,,ATC,21601200.0,B05XA05,magnesium sulfate,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6964,,,65,Clonidine (Catapresan),2. Spuitpompen,,DRUG//START//65//6964,32251,MEDICATION//C02//A//C01,dynamic_event,True,,ATC,21600398.0,C02AC01,"clonidine; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7179,,,65,Dopamine (Inotropin),2. Spuitpompen,,DRUG//START//65//7179,31443,MEDICATION//C01//C//A04,dynamic_event,True,,ATC,21600284.0,C01CA04,dopamine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12586,,,114,Nutrison Standaard,Voeding Enteraal,,DRUG//START//114//12586,29933,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,6891,,,23,Paracetamol,Injecties CZS/Sedatie/Analgetica,,DRUG//START//23//6891,29595,MEDICATION//N02//B//E01,dynamic_event,True,,ATC,21604344.0,N02BE01,"paracetamol; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6919,,,15,Cefotaxim (Claforan),Injecties Antimicrobiele middelen,,DRUG//START//15//6919,29321,MEDICATION//J01//D//D01,dynamic_event,True,,ATC,21602895.0,J01DD01,cefotaxime; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7244,,,65,Furosemide (Lasix),2. Spuitpompen,,DRUG//START//65//7244,29079,MEDICATION//C03//C//A01,dynamic_event,True,,ATC,21601518.0,C03CA01,"furosemide; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7257,,,55,Glucose 5 %,Infuus - Crystalloid,,DRUG//START//55//7257,28568,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,9120,,,69,Oculentum simplex oogzalf,Niet iv Zalven/Crèmes/Druppels,,DRUG//START//69//9120,27802,MEDICATION//S01//X//A20,dynamic_event,True,,ATC,21605143.0,S01XA20,artificial tears and other indifferent preparations,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7187,,,15,Metronidazol (Flagyl),Injecties Antimicrobiele middelen,,DRUG//START//15//7187,26231,MEDICATION//J01//X//D01,dynamic_event,True,,ATC,21603054.0,J01XD01,metronidazole; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12408,,,21,SDD drank (8 x dgs),Niet iv Antimicrobiele middelen,,DRUG//START//21//12408,25395,MEDICATION//A07//A//A,dynamic_event,True,,ATC,21600602.0,A07AA,Antibiotics,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7350,,,42,Water 150ml,Voeding Drinken,,DRUG//START//42//7350,24545,NUTRITION//ORAL,dynamic_event/nutrition_fluid,True,oral_drink,LOCAL,,,NUTRITION//ORAL,stage3o_v6_policy,local_parent_token,medium
AmsterdamUMCdb,drugitems,9152,,,15,Cefazoline (Kefzol),Injecties Antimicrobiele middelen,,DRUG//START//15//9152,24241,MEDICATION//J01//D//B04,dynamic_event,True,,ATC,21602873.0,J01DB04,cefazolin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7064,,,15,Vancomycine,Injecties Antimicrobiele middelen,,DRUG//START//15//7064,23868,MEDICATION//J01//X//A01,dynamic_event,True,,ATC,21603043.0,J01XA01,vancomycin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6902,,,30,Captopril (Capoten),Niet iv Circulatie/Diurese,,DRUG//START//30//6902,23012,MEDICATION//C09//A//A01,dynamic_event,True,,ATC,21601785.0,C09AA01,captopril; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7208,,,15,Erythromycine (Erythrocine),Injecties Antimicrobiele middelen,,DRUG//START//15//7208,22577,MEDICATION//J01//F//A01,dynamic_event,True,,ATC,21602970.0,J01FA01,"erythromycin; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7218,,,65,Nicardipine (Cardene),2. Spuitpompen,,DRUG//START//65//7218,22430,MEDICATION//C08//C//A04,dynamic_event,True,,ATC,21601750.0,C08CA04,"nicardipine; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12407,,,21,SDD pasta (8 x dgs),Niet iv Antimicrobiele middelen,,DRUG//START//21//12407,21351,MEDICATION//A01//A//B,dynamic_event,True,,ATC,21600011.0,A01AB,Antiinfectives and antiseptics for local oral treatment,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,13171,,,21,SDD pasta Tracheostoma (4 x dgs),Niet iv Antimicrobiele middelen,,DRUG//START//21//13171,20946,MEDICATION//A01//A//B,dynamic_event,True,,ATC,21600011.0,A01AB,Antiinfectives and antiseptics for local oral treatment,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8429,,,61,Gefiltreerde Ery's,Infuus - Bloedproducten,,DRUG//START//61//8429,20834,BLOOD_PRODUCT//TRANSFUSION,dynamic_event/nutrition_fluid,True,blood_product,LOCAL,,,BLOOD_PRODUCT//TRANSFUSION,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,9133,,,15,Ceftriaxon (Rocephin),Injecties Antimicrobiele middelen,,DRUG//START//15//9133,20563,MEDICATION//J01//D//D04,dynamic_event,True,,ATC,21602898.0,J01DD04,ceftriaxone; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7027,,,67,Thiamine (Vitamine B1),Injecties Hormonen/Vitaminen/Mineralen,,DRUG//START//67//7027,20496,MEDICATION//A11//D//A01,dynamic_event,True,,ATC,21600825.0,A11DA01,"thiamine (vit B1); oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7412,,,65,Calcium Glubionaat (Calcium Sandoz),2. Spuitpompen,,DRUG//START//65//7412,17832,MEDICATION//A12//A//A02,dynamic_event,True,,ATC,21600861.0,A12AA02,calcium glubionate; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7244,,,24,Furosemide (Lasix),Injecties Circulatie/Diuretica,,DRUG//START//24//7244,16612,MEDICATION//C03//C//A01,dynamic_event,True,,ATC,21601518.0,C03CA01,"furosemide; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9550,,,71,Supradyn,Niet iv Hormonen/Vitaminen/Mineralen,,DRUG//START//71//9550,16266,MEDICATION//A11//A//A03,dynamic_event,True,,ATC,21600805.0,A11AA03,"multivitamins and other minerals, incl. combinations",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12948,,,114,Osmolite HP 1.0,Voeding Enteraal,,DRUG//START//114//12948,16027,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,9015,,,65,Amiodaron Onderhoudsdosis,2. Spuitpompen,,DRUG//START//65//9015,15927,MEDICATION//C01//B//D01,dynamic_event,True,,ATC,21600270.0,C01BD01,"amiodarone; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9043,,,67,Cernevit Multivitaminen,Injecties Hormonen/Vitaminen/Mineralen,,DRUG//START//67//9043,15465,MEDICATION//B05//X//C,dynamic_event,True,,ATC,21601219.0,B05XC,Vitamins,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9019,,,30,Carbasalaatcalcium (Ascal),Niet iv Circulatie/Diurese,,DRUG//START//30//9019,15352,MEDICATION//B01//A//C08,dynamic_event,True,,ATC,21600993.0,B01AC08,carbasalate calcium; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8939,,,55,Medicijnlijn medicatie,Infuus - Crystalloid,,DRUG//START//55//8939,15086,ATC//SFX//B05,metadata_only,False,line_or_device_metadata,ATC,21601161.0,B05BB01,B05BB01,AMSTEL_source_concepts,source_code_atc,high
AmsterdamUMCdb,drugitems,7097,,,29,Haloperidol (Haldol),Niet iv CZS/Sedatie/Analgetica,,DRUG//START//29//7097,15061,MEDICATION//N05//A//D01,dynamic_event,True,,ATC,21604516.0,N05AD01,"haloperidol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6948,,,15,Ciprofloxacine (Ciproxin),Injecties Antimicrobiele middelen,,DRUG//START//15//6948,14924,MEDICATION//J01//M//A02,dynamic_event,True,,ATC,21603009.0,J01MA02,"ciprofloxacin; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7123,,,15,Imipenem (Tienam),Injecties Antimicrobiele middelen,,DRUG//START//15//7123,14593,MEDICATION//J01//D//H51,dynamic_event,True,,ATC,21602925.0,J01DH51,imipenem and cilastatin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9543,,,31,Magnesiumoxide,Niet iv Tractus Digestivus,,DRUG//START//31//9543,14429,MEDICATION//A06//A//D02,dynamic_event,True,,ATC,21600567.0,A06AD02,magnesium oxide; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12472,,,69,Fluticason (Flixonase) neusspray,Niet iv Zalven/Crèmes/Druppels,,DRUG//START//69//12472,14269,MEDICATION//R01//A//D08,dynamic_event,True,,ATC,21605050.0,R01AD08,fluticasone; nasal,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7196,,,65,Enoximon (Perfan),2. Spuitpompen,,DRUG//START//65//7196,13556,MEDICATION//C01//C//E03,dynamic_event,True,,ATC,21600309.0,C01CE03,enoximone; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,15720,,,70,(A/M)Atrovent:Mucomyst 1:1,Niet iv Tractus Respiratorius,,DRUG//START//70//15720,13535,MEDICATION//R03//B//B01,dynamic_event,True,,ATC,21603293.0,R03BB01,ipratropium bromide; inhalant,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,15015,,,42,Water 100ml,Voeding Drinken,,DRUG//START//42//15015,13064,NUTRITION//ORAL,dynamic_event/nutrition_fluid,True,oral_drink,LOCAL,,,NUTRITION//ORAL,stage3o_v6_policy,local_parent_token,medium
AmsterdamUMCdb,drugitems,18783,,,65,Calciumgluconaat 10%,2. Spuitpompen,,DRUG//START//65//18783,12415,MEDICATION//A12//A//A03,dynamic_event,True,,ATC,21600862.0,A12AA03,"calcium gluconate; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7165,,,23,Lorazepam (Temesta),Injecties CZS/Sedatie/Analgetica,,DRUG//START//23//7165,12197,MEDICATION//N05//B//A06,dynamic_event,True,,ATC,21604571.0,N05BA06,"lorazepam; oral, parenteral, sublingual",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9029,,,15,Amoxicilline/Clavulaanzuur (Augmentin),Injecties Antimicrobiele middelen,,DRUG//START//15//9029,12102,MEDICATION//J01//C//R02,dynamic_event,True,,ATC,21602863.0,J01CR02,"amoxicillin and beta-lactamase inhibitor; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7227,,,15,Flucloxacilline (Stafoxil/Floxapen),Injecties Antimicrobiele middelen,,DRUG//START//15//7227,12070,MEDICATION//J01//C//F05,dynamic_event,True,,ATC,21602857.0,J01CF05,"flucloxacillin; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9551,,,71,Zinkdrank,Niet iv Hormonen/Vitaminen/Mineralen,,DRUG//START//71//9551,11991,MEDICATION//A12//C//B01,dynamic_event,True,,ATC,21600889.0,A12CB01,zinc sulfate; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7314,,,63,Nutrison Standaard oud,Voeding Enteraal oud,,DRUG//START//63//7314,11844,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,7478,,,65,Nitroglycerine (Nitro-pohl),2. Spuitpompen,,DRUG//START//65//7478,11834,MEDICATION//C01//D//A02,dynamic_event,True,,ATC,21600317.0,C01DA02,"glyceryl trinitrate; local oral, oral, sublingual, transdermal",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7151,,,65,Labetalol (Trandate),2. Spuitpompen,,DRUG//START//65//7151,11688,MEDICATION//C07//A//G01,dynamic_event,True,,ATC,21601699.0,C07AG01,"labetalol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9590,,,29,Alprazolam (Xanax),Niet iv CZS/Sedatie/Analgetica,,DRUG//START//29//9590,11604,MEDICATION//N05//B//A12,dynamic_event,True,,ATC,21604577.0,N05BA12,alprazolam; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6847,,,15,Amoxicilline (Clamoxyl/Flemoxin),Injecties Antimicrobiele middelen,,DRUG//START//15//6847,11262,MEDICATION//J01//C//A04,dynamic_event,True,,ATC,21602823.0,J01CA04,"amoxicillin; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12491,,,67,Spoorelementen (Nutritrace),Injecties Hormonen/Vitaminen/Mineralen,,DRUG//START//67//12491,11160,MEDICATION//B05//X//A31,dynamic_event,True,,ATC,21601214.0,B05XA31,electrolytes in combination with other drugs,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12947,,,69,Mupirocine (Bactroban) zalf,Niet iv Zalven/Crèmes/Druppels,,DRUG//START//69//12947,10962,MEDICATION//R01//A//X06,dynamic_event,True,,ATC,21603201.0,R01AX06,mupirocin; nasal,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,6993,,,32,Simvastatine (Zocor),Niet iv Overig,,DRUG//START//32//6993,10744,MEDICATION//C10//A//A01,dynamic_event,True,,ATC,21601856.0,C10AA01,simvastatin; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,12610,,,114,Nutrison Sterilized water,Voeding Enteraal,,DRUG//START//114//12610,10708,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_omop,medium
AmsterdamUMCdb,drugitems,9150,,,70,(V/M)Ventolin:Mucomyst 1:1,Niet iv Tractus Respiratorius,,DRUG//START//70//9150,10606,MEDICATION//R03//A//K,dynamic_event,True,,ATC,21603274.0,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9569,,,65,Glucose 5% spuit,2. Spuitpompen,,DRUG//START//65//9569,10450,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,9071,,,70,Acetylcysteine (inhalatie),Niet iv Tractus Respiratorius,,DRUG//START//70//9071,10308,MEDICATION//R05//C//B01,dynamic_event,True,,ATC,21603380.0,R05CB01,"acetylcysteine; inhalant, oral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8154,,,30,Amlodipine (Norvasc),Niet iv Circulatie/Diurese,,DRUG//START//30//8154,10124,MEDICATION//C08//C//A01,dynamic_event,True,,ATC,21601747.0,C08CA01,amlodipine; oral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,15016,,,42,Water 200ml,Voeding Drinken,,DRUG//START//42//15016,10055,NUTRITION//ORAL,dynamic_event/nutrition_fluid,True,oral_drink,LOCAL,,,NUTRITION//ORAL,stage3o_v6_policy,local_parent_token,medium
AmsterdamUMCdb,drugitems,7979,,,31,Pantoprazol (Pantozol),Niet iv Tractus Digestivus,,DRUG//START//31//7979,10000,MEDICATION//A02//B//C02,dynamic_event/medication,True,,ATC,21600097.0,A02BC02,"pantoprazole; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7178,,,65,Dobutamine (Dobutrex),2. Spuitpompen,,DRUG//START//65//7178,9168,MEDICATION//C01//C//A07,dynamic_event,True,,ATC,21600287.0,C01CA07,dobutamine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
