source_token,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//30//7184,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600097,,A02BC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//26//7979,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600097,,A02BC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7316,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//71//8006,ATC//A12//MINERAL_SUPPLEMENTS,,True,,ATC,21600877,,A12BA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//7097,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604516,,N05AD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//6883,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604569,,N05BA04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//7148,ATC//SFX//B05,,True,,ATC,21601200,,B05XA05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//6964,ATC//SFX//C02,,True,,ATC,21600398,,C02AC01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7179,ATC//SFX//C01,,True,,ATC,21600284,,C01CA04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//114//12586,ATC//V06//GENERAL_NUTRIENTS,,False,enteral_nutrition,ATC,21605350,,V06DB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//6891,ATC//N02//ANALGESICS,,True,,ATC,21604344,,N02BE01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//6919,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602895,,J01DD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7244,ATC//SFX//C03,,True,,ATC,21601518,,C03CA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7257,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601157,,B05BA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//9120,ATC//S01//OPHTHALMOLOGICALS,,True,,ATC,21605143,,S01XA20,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7187,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21603054,,J01XD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//12408,ATC//A07//ANTIDIARRHEALS_INTESTINAL_ANTIINFLAMMATORY/ANTIINFECTIVE_AGENTS,,True,,ATC,21600602,,A07AA,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//7350,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//15//9152,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602873,,J01DB04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7064,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21603043,,J01XA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//6902,ATC//C09//AGENTS_ACTING_ON_THE_RENIN-ANGIOTENSIN_SYSTEM,,True,,ATC,21601785,,C09AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7208,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602970,,J01FA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7218,ATC//C08//CALCIUM_CHANNEL_BLOCKERS,,True,,ATC,21601750,,C08CA04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//12407,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//13171,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//61//8429,ATC//SFX//B05,,False,blood_product,ATC,21601149,,B05AX01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//9133,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602898,,J01DD04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//7027,ATC//A11//VITAMINS,,True,,ATC,21600825,,A11DA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7412,ATC//A12//MINERAL_SUPPLEMENTS,,True,,ATC,21600861,,A12AA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//24//7244,ATC//SFX//C03,,True,,ATC,21601518,,C03CA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//71//9550,ATC//A11//VITAMINS,,True,,ATC,21600805,,A11AA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//114//12948,ATC//V06//GENERAL_NUTRIENTS,,False,enteral_nutrition,ATC,21605350,,V06DB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9015,ATC//SFX//C01,,True,,ATC,21600270,,C01BD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//9043,ATC//SFX//B05,,True,,ATC,21601219,,B05XC,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//9019,ATC//SFX//B01,,True,,ATC,21600993,,B01AC08,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//8939,ATC//SFX//B05,,False,line_or_device_metadata,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//7097,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604516,,N05AD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//6948,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21603009,,J01MA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7123,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602925,,J01DH51,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//9543,ATC//A06//LAXATIVES,,True,,ATC,21600567,,A06AD02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//12472,ATC//R01//NASAL_PREPARATIONS,,True,,ATC,21605050,,R01AD08,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7196,ATC//SFX//C01,,True,,ATC,21600309,,C01CE03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//15720,ATC//R03//ANTI-ASTHMATICS,,True,,ATC,21603293,,R03BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15015,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//18783,ATC//A12//MINERAL_SUPPLEMENTS,,True,,ATC,21600862,,A12AA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//7165,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604571,,N05BA06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//9029,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602863,,J01CR02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7227,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602857,,J01CF05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//71//9551,ATC//A12//MINERAL_SUPPLEMENTS,,True,,ATC,21600889,,A12CB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//63//7314,ATC//V06//GENERAL_NUTRIENTS,,False,enteral_nutrition,ATC,21605350,,V06DB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7478,ATC//SFX//C01,,True,,ATC,21600317,,C01DA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7151,ATC//C07//BETA_BLOCKING_AGENTS,,True,,ATC,21601699,,C07AG01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//9590,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604577,,N05BA12,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//6847,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602823,,J01CA04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//12491,ATC//SFX//B05,,True,,ATC,21601214,,B05XA31,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//12947,ATC//R01//NASAL_PREPARATIONS,,True,,ATC,21603201,,R01AX06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//6993,ATC//C10//LIPID_MODIFYING_AGENTS,,True,,ATC,21601856,,C10AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//114//12610,OMOP//OMOP_CONCEPT//40798859,,False,enteral_nutrition,OMOP_CONCEPT,40798859,,General Nutrients,AMSTEL_usagi,source_code_omop,medium
DRUG//START//70//9150,ATC//R03//ANTI-ASTHMATICS,,True,,ATC,21603274,,R03AK,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9569,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601157,,B05BA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//9071,ATC//R05//COUGH_AND_COLD_PREPARATIONS,,True,,ATC,21603380,,R05CB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//8154,ATC//C08//CALCIUM_CHANNEL_BLOCKERS,,True,,ATC,21601747,,C08CA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15016,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//7979,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600097,,A02BC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7178,ATC//SFX//C01,,True,,ATC,21600287,,C01CA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//8999,ATC//SFX//B05,,True,,ATC,21601213,,B05XA30,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7148,ATC//SFX//B05,,True,,ATC,21601200,,B05XA05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//56//14954,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//26//7180,ATC//SFX//A03,,True,,ATC,21600484,,A03FA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//7165,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604571,,N05BA06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//9021,ATC//A11//VITAMINS,,True,,ATC,21600837,,A11GA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//8394,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602961,,J01EE01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//9351,ATC//A11//VITAMINS,,True,,ATC,21600830,,A11EA,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//6811,ATC//J05//ANTIVIRALS_FOR_SYSTEMIC_USE,,True,,ATC,21603131,,J05AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//9475,OMOP//OMOP_CONCEPT//19073584,,True,,OMOP_CONCEPT,19073584,,ascorbic acid 100 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//67//6995,ATC//H02//CORTICOSTEROIDS_FOR_SYSTEMIC_USE,,True,,ATC,21602730,,H02AB02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//12800,ATC//C10//LIPID_MODIFYING_AGENTS,,True,,ATC,21601860,,C10AA05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//7015,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604642,,N05CD07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//7132,ATC//R03//ANTI-ASTHMATICS,,True,,ATC,21603293,,R03BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7412,ATC//A12//MINERAL_SUPPLEMENTS,,True,,ATC,21600861,,A12AA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//6968,ATC//SFX//B01,,True,,ATC,21600989,,B01AC04,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7227,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602857,,J01CF05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//10586,ATC//A07//ANTIDIARRHEALS_INTESTINAL_ANTIINFLAMMATORY/ANTIINFECTIVE_AGENTS,,True,,ATC,21600602,,A07AA,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//10581,ATC//C09//AGENTS_ACTING_ON_THE_RENIN-ANGIOTENSIN_SYSTEM,,True,,ATC,21601787,,C09AA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//10585,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7979,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600097,,A02BC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//25//7246,ATC//SFX//B02,,True,,ATC,21601045,,B02BA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//6922,ATC//H02//CORTICOSTEROIDS_FOR_SYSTEMIC_USE,,True,,ATC,21602734,,H02AB06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//8100,OMOP//OMOP_CONCEPT//40058897,,True,,OMOP_CONCEPT,40058897,,gabapentin Oral Tablet [Neurontin],AMSTEL_usagi,source_code_omop,medium
DRUG//START//25//8111,ATC//SFX//B02,,True,,ATC,21601036,,B02AA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//7231,ATC//J02//ANTIMYCOTICS_FOR_SYSTEMIC_USE,,True,,ATC,21603080,,J02AC01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//9062,ATC//SFX//C03,,True,,ATC,21601466,,C03AA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//61//7367,ATC//SFX//B05,,False,blood_product,ATC,21601151,,B05AX03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//7504,,,False,route_or_order_metadata,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//114//12608,ATC//V06//GENERAL_NUTRIENTS,,False,enteral_nutrition,ATC,21605350,,V06DB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//9001,ATC//SFX//B05,,True,,ATC,21601196,,B05XA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15014,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14970,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//7228,ATC//C08//CALCIUM_CHANNEL_BLOCKERS,,True,,ATC,21601752,,C08CA06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//7191,ATC//SFX//D01,,True,,ATC,21601921,,D01AC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//9128,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602831,,J01CA12,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//56//14982,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//30//7006,ATC//C07//BETA_BLOCKING_AGENTS,,True,,ATC,21601672,,C07AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//26//6950,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600083,,A02BA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//8549,OMOP//OMOP_CONCEPT//40025432,,True,,OMOP_CONCEPT,40025432,,colistin Oral Tablet,AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//15021,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//70//9100,ATC//R05//COUGH_AND_COLD_PREPARATIONS,,True,,ATC,21603380,,R05CB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//13169,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//8956,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//32//9019,ATC//SFX//B01,,True,,ATC,21600993,,B01AC08,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//7222,OMOP//OMOP_CONCEPT//36279263,,True,,OMOP_CONCEPT,36279263,,5 ML Phenytoin 50 MG/ML Injection [Diphantoine],AMSTEL_usagi,source_code_omop,medium
DRUG//START//15//6917,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602896,,J01DD02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//7011,OMOP//OMOP_CONCEPT//40084974,,True,,OMOP_CONCEPT,40084974,,spironolactone Oral Tablet [Aldactone],AMSTEL_usagi,source_code_omop,medium
DRUG//START//15//8127,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602921,,J01DH02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//71//7157,ATC//H03//THYROID_THERAPY,,True,,ATC,21602754,,H03AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//24//7173,ATC//SFX//C01,,True,,ATC,21600234,,C01AA05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//8171,ATC//R01//NASAL_PREPARATIONS,,True,,ATC,21605016,,R01AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//18807,ATC//SFX//B05,,True,,ATC,21601209,,B05XA14,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//7504,,,False,route_or_order_metadata,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//24//6804,ATC//S01//OPHTHALMOLOGICALS,,True,,ATC,21603693,,S01EC01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//61//7369,ATC//SFX//B05,,False,blood_product,ATC,21601150,,B05AX02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//26//12942,ATC//SFX//A04,,True,,ATC,21600493,,A04AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//39//13019,ATC//SFX//B05,,False,parenteral_nutrition,ATC,21601159,,B05BA10,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//12398,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21603019,,J01MA12,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//12388,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600100,,A02BC05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//8961,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//6844,ATC//SFX//C01,,True,,ATC,21600270,,C01BD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//9072,OMOP//OMOP_CONCEPT//35850823,,True,,OMOP_CONCEPT,35850823,,sodium phosphate Enema,AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//20535,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7360,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601165,,B05BC01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9006,ATC//SFX//C02,,True,,ATC,21600435,,C02DD01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//8958,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//17//8933,ATC//SFX//B05,,False,colloid_or_volume_expander,ATC,21601139,,B05AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//8998,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601197,,B05XA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//6958,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21602985,,J01FF01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//26//12388,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600100,,A02BC05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//8174,ATC//V03//ALL_OTHER_THERAPEUTIC_PRODUCTS,,True,,ATC,21605264,,V03AE01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//12518,OMOP//OMOP_CONCEPT//40009903,,True,,OMOP_CONCEPT,40009903,,baclofen Oral Tablet [Lioresal],AMSTEL_usagi,source_code_omop,medium
DRUG//START//30//12798,ATC//SFX//B01,,True,,ATC,21600991,,B01AC06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//6960,ATC//M03//MUSCLE_RELAXANTS,,True,,ATC,21604086,,M03AC09,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//32//6802,ATC//SFX//B01,,True,,ATC,21600967,,B01AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//27//9612,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//56//14974,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//9086,ATC//A06//LAXATIVES,,True,,ATC,21600571,,A06AD11,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//15//8547,ATC//J02//ANTIMYCOTICS_FOR_SYSTEMIC_USE,,True,,ATC,21603082,,J02AC03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//8940,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601157,,B05BA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//7504,,,False,route_or_order_metadata,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//17//8932,ATC//SFX//B05,,False,colloid_or_volume_expander,ATC,21601144,,B05AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//6950,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600083,,A02BA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7295,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601197,,B05XA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15017,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//6910,ATC//N02//ANALGESICS,,True,,ATC,21604277,,N02AC03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//56//14990,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15029,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//7219,ATC//N01//ANESTHETICS,,True,,ATC,21604201,,N01AH01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//30//7244,ATC//SFX//C03,,True,,ATC,21601518,,C03CA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15018,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//13881,OMOP//OMOP_CONCEPT//40128130,,True,,OMOP_CONCEPT,40128130,,pregabalin Oral Capsule [Lyrica],AMSTEL_usagi,source_code_omop,medium
