source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
LAB//9935//mmol/l,v13_lab_consolidation,LOINC//3003458,dynamic_event/lab,True,,LOINC,3003458.0,3003458,3003458,AMSTEL,source_code,high
LAB//9952//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//9943//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//9937//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//10079//mg/l,v13_lab_consolidation,LOINC//3020460,dynamic_event/lab,True,,LOINC,3020460.0,3020460,3020460,AMSTEL,source_code,high
LAB//11978//E/l,v13_lab_consolidation,OMOP//OMOP//3006923,dynamic_event/lab,True,,OMOP,3006923.0,3006923,alanine_aminotransferase,BlendedICU,label_exact,high
LAB//11990//E/l,v13_lab_consolidation,OMOP//OMOP//3013721,dynamic_event/lab,True,,OMOP,3013721.0,3013721,aspartate_aminotransferase,BlendedICU,label_exact,high
LAB//12023//E/l,v13_lab_consolidation,LOINC//3016436,dynamic_event/lab,True,,LOINC,3016436.0,3016436,3016436,AMSTEL,source_code,high
LAB//11984//E/l,v13_lab_consolidation,LOINC//3035995,dynamic_event/lab,True,,LOINC,3035995.0,3035995,3035995,AMSTEL,source_code,high
LAB//10413//µg/l,v13_lab_consolidation,LOINC//3005785,dynamic_event/lab,True,,LOINC,3005785.0,3005785,3005785,AMSTEL,source_code,high
LAB//11986//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//7433//mmHg,v13_lab_consolidation,LOINC//3027315,dynamic_event/lab,True,,LOINC,3027315.0,3027315,3027315,AMSTEL,source_code,high
LAB//6846//mmHg,v13_lab_consolidation,LOINC//3013290,dynamic_event/lab,True,,LOINC,3013290.0,3013290,3013290,AMSTEL,source_code,high
LAB//6810//mmol/l,v13_lab_consolidation,LOINC//3006576,dynamic_event/lab,True,,LOINC,3006576.0,3006576,3006576,AMSTEL,source_code,high
LAB//6807//mmol/l,v13_lab_consolidation,LOINC//3012501,dynamic_event/lab,True,,LOINC,3012501.0,3012501,3012501,AMSTEL,source_code,high
LAB//9553//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//9557//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//9556//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//9555//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//9561//mmol/l,v13_lab_consolidation,LOINC//3048816,dynamic_event/lab,True,,LOINC,3048816.0,3048816,3048816,AMSTEL,source_code,high
LAB//9962//10^12/l,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//9967//10^9/l,v13_lab_consolidation,LOINC//3028615,dynamic_event/lab,True,,LOINC,3028615.0,3028615,3028615,AMSTEL,source_code,high
LAB//21213//kPa,v13_lab_consolidation,LOINC//3013290,dynamic_event/lab,True,,LOINC,3013290.0,3013290,3013290,AMSTEL,source_code,high
LAB//21214//kPa,v13_lab_consolidation,LOINC//3027315,dynamic_event/lab,True,,LOINC,3027315.0,3027315,3027315,AMSTEL,source_code,high
LAB//6835//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//6840//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//6833//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//6778//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//6836//µmol,v13_lab_consolidation,LOINC//3009508,dynamic_event/lab,True,,LOINC,3009508.0,3009508,3009508,AMSTEL,source_code,high
LAB//6779//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//6817//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//6828//mmol/l,v13_lab_consolidation,LOINC//3003458,dynamic_event/lab,True,,LOINC,3003458.0,3003458,3003458,AMSTEL,source_code,high
LAB//10269//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//6839//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//12043//E/l,v13_lab_consolidation,LOINC//3004905,dynamic_event/lab,True,,LOINC,3004905.0,3004905,3004905,AMSTEL,source_code,high
LAB//10279//mmol/l,v13_lab_consolidation,LOINC//3009508,dynamic_event/lab,True,,LOINC,3009508.0,3009508,3009508,AMSTEL,source_code,high
LAB//9949//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//9939//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//6850//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//11658///3 µl,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//6801//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//11656///3 µl,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//9958//mg/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//9558//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//11856//Geen,v13_lab_consolidation,LOINC//3008342,dynamic_event/lab,True,,LOINC,3008342.0,3008342,3008342,AMSTEL,source_code,high
LAB//14334//10^9/l,v13_lab_consolidation,LOINC//3028615,dynamic_event/lab,True,,LOINC,3028615.0,3028615,3028615,AMSTEL,source_code,high
LAB//10175//g/l,v13_lab_consolidation,LOINC//3016407,dynamic_event/lab,True,,LOINC,3016407.0,3016407,3016407,AMSTEL,source_code,high
LAB//11663///µl,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//9954//mmol/l,v13_lab_consolidation,LOINC//3019900,dynamic_event/lab,True,,LOINC,3019900.0,3019900,3019900,AMSTEL,source_code,high
LAB//11661///µl,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//6824//IE/l,v13_lab_consolidation,LOINC//3005785,dynamic_event/lab,True,,LOINC,3005785.0,3005785,3005785,AMSTEL,source_code,high
LAB//6806//IE/l,v13_lab_consolidation,OMOP//OMOP//3013721,dynamic_event/lab,True,,OMOP,3013721.0,3013721,aspartate_aminotransferase,BlendedICU,label_exact,high
LAB//6800//IE/l,v13_lab_consolidation,OMOP//OMOP//3006923,dynamic_event/lab,True,,OMOP,3006923.0,3006923,alanine_aminotransferase,BlendedICU,label_exact,high
LAB//10412//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10271//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//6803//IE/l,v13_lab_consolidation,LOINC//3035995,dynamic_event/lab,True,,LOINC,3035995.0,3035995,3035995,AMSTEL,source_code,high
LAB//6838//IE/l,v13_lab_consolidation,LOINC//3016436,dynamic_event/lab,True,,LOINC,3016436.0,3016436,3016436,AMSTEL,source_code,high
LAB//9956//mmol/l,v13_lab_consolidation,LOINC//42868692,dynamic_event/lab,True,,LOINC,42868692.0,42868692,42868692,AMSTEL,source_code,high
LAB//6837//mmol/l,v13_lab_consolidation,LOINC//3047181,dynamic_event/lab,True,,LOINC,3047181.0,3047181,3047181,AMSTEL,source_code,high
LAB//9989//g/l,v13_lab_consolidation,LOINC//3016407,dynamic_event/lab,True,,LOINC,3016407.0,3016407,3016407,AMSTEL,source_code,high
LAB//6819//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//6845//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//10056//mmol/l,v13_lab_consolidation,LOINC//3019900,dynamic_event/lab,True,,LOINC,3019900.0,3019900,3019900,AMSTEL,source_code,high
LAB//9580//mmol/l,v13_lab_consolidation,LOINC//3047181,dynamic_event/lab,True,,LOINC,3047181.0,3047181,3047181,AMSTEL,source_code,high
LAB//12196///veld,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//10291//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//12230//mmol/24uur,v13_lab_consolidation,LOINC//3025549,dynamic_event/lab,True,,LOINC,3025549.0,3025549,3025549,AMSTEL,source_code,high
LAB//12192//mmol/l,v13_lab_consolidation,LOINC//3025549,dynamic_event/lab,True,,LOINC,3025549.0,3025549,3025549,AMSTEL,source_code,high
LAB//10280//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//9966//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//12024//E/l,v13_lab_consolidation,LOINC//3016436,dynamic_event/lab,True,,LOINC,3016436.0,3016436,3016436,AMSTEL,source_code,high
LAB//6825//mg/l,v13_lab_consolidation,LOINC//3020460,dynamic_event/lab,True,,LOINC,3020460.0,3020460,3020460,AMSTEL,source_code,high
LAB//9938//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//12234//mmol/24uur,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//11987//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//12249//g/24uur,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10116//mg/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//9948//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//17980//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//9940//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10292//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10051//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//6774//10^12/l,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//9957//mmol/l,v13_lab_consolidation,LOINC//42868692,dynamic_event/lab,True,,LOINC,42868692.0,42868692,42868692,AMSTEL,source_code,high
LAB//18437//E/l,v13_lab_consolidation,LOINC//3016436,dynamic_event/lab,True,,LOINC,3016436.0,3016436,3016436,AMSTEL,source_code,high
LAB//12252//mmol/24uur,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//18562//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10281//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//10270//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//14441//µmol/l,v13_lab_consolidation,LOINC//3009508,dynamic_event/lab,True,,LOINC,3009508.0,3009508,3009508,AMSTEL,source_code,high
LAB//10273//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//18368//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//11988//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//17972//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//12228//mmol/24uur,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//7848//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//10272//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//9975//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//18442//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//14349//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//10275//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//12044//E/l,v13_lab_consolidation,LOINC//3004905,dynamic_event/lab,True,,LOINC,3004905.0,3004905,3004905,AMSTEL,source_code,high
LAB//17971//g/l,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//10294//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//18446//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//18869//mmol/l,v13_lab_consolidation,LOINC//42868692,dynamic_event/lab,True,,LOINC,42868692.0,42868692,42868692,AMSTEL,source_code,high
LAB//7101//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//11705//Geen,v13_lab_consolidation,OMOP//OMOP//3024561,dynamic_event/lab,True,,OMOP,3024561.0,3024561,albumin,BlendedICU,label_exact,high
LAB//9944//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//6826//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//18436//E/l,v13_lab_consolidation,LOINC//3016436,dynamic_event/lab,True,,LOINC,3016436.0,3016436,3016436,AMSTEL,source_code,high
LAB//8923//UNKNOWN,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//9577//UNKNOWN,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//9576//UNKNOWN,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//9578//UNKNOWN,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//6786//UNKNOWN,v13_lab_consolidation,LOINC//3008342,dynamic_event/lab,True,,LOINC,3008342.0,3008342,3008342,AMSTEL,source_code,high
LAB//8915//mmol/l,v13_lab_consolidation,LOINC//3048816,dynamic_event/lab,True,,LOINC,3048816.0,3048816,3048816,AMSTEL,source_code,high
LAB//10277//mmol/l,v13_lab_consolidation,LOINC//3003458,dynamic_event/lab,True,,LOINC,3003458.0,3003458,3003458,AMSTEL,source_code,high
LAB//17979//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//6776//g/l,v13_lab_consolidation,LOINC//3016407,dynamic_event/lab,True,,LOINC,3016407.0,3016407,3016407,AMSTEL,source_code,high
LAB//7796//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//10082//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//14216//µmol/l,v13_lab_consolidation,LOINC//3009508,dynamic_event/lab,True,,LOINC,3009508.0,3009508,3009508,AMSTEL,source_code,high
LAB//18849//E/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//6865//g/dl,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//9934//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//18366//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//9953//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//10337//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//9929//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//10276//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//9991//mmHg,v13_lab_consolidation,LOINC//3013290,dynamic_event/lab,True,,LOINC,3013290.0,3013290,3013290,AMSTEL,source_code,high
LAB//9932//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//12217//mmol/24uur,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//10278//mmol/l,v13_lab_consolidation,LOINC//3003458,dynamic_event/lab,True,,LOINC,3003458.0,3003458,3003458,AMSTEL,source_code,high
LAB//18859//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//18445//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//18854//mg/l,v13_lab_consolidation,LOINC//3020460,dynamic_event/lab,True,,LOINC,3020460.0,3020460,3020460,AMSTEL,source_code,high
LAB//12223//mmol/24uur,v13_lab_consolidation,LOINC//3003458,dynamic_event/lab,True,,LOINC,3003458.0,3003458,3003458,AMSTEL,source_code,high
LAB//9997//mmHg,v13_lab_consolidation,LOINC//3027315,dynamic_event/lab,True,,LOINC,3027315.0,3027315,3027315,AMSTEL,source_code,high
LAB//18564//mmol/l,v13_lab_consolidation,LOINC//42868692,dynamic_event/lab,True,,LOINC,42868692.0,42868692,42868692,AMSTEL,source_code,high
LAB//9963//10^12/l,v13_lab_consolidation,LOINC//3026361,dynamic_event/lab,True,,LOINC,3026361.0,3026361,3026361,AMSTEL,source_code,high
LAB//18450//E/l,v13_lab_consolidation,LOINC//3004905,dynamic_event/lab,True,,LOINC,3004905.0,3004905,3004905,AMSTEL,source_code,high
LAB//18852//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//18862//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//10274//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//18443//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//19703//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//10295//mmol/l,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//12219//mmol/24uur,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//12232//mmol/24uur,v13_lab_consolidation,OMOP//OMOP//3033836,dynamic_event/lab,True,,OMOP,3033836.0,3033836,magnesium,BlendedICU,label_exact,high
LAB//18444//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//6820//mmol/l,v13_lab_consolidation,LOINC//3019900,dynamic_event/lab,True,,LOINC,3019900.0,3019900,3019900,AMSTEL,source_code,high
